Seed 0,Seed 1,Seed 2,Seed 3,Seed 4,Seed 5
-271.8504963975515,-95.11911227651822,-54.50939065228854,-268.65925573725394,-250.15666327677553,-65.51842236638433
-34.73050647131956,-209.34690013769676,-175.1053162611924,-123.71854139384018,-272.6711458103432,-331.3600054736925
-301.7758274774837,-559.687783683558,-404.1930127485696,-142.24343114568316,-521.5418126716647,-317.1233878850264
-434.0119864714169,-177.80435203714578,-341.1137313568473,-303.7401929847762,-185.59465416054223,-74.58070560491092
-233.61834200163116,-215.90444650982943,-337.52557130759635,-280.22950007306315,-381.45151286439,-237.66738289746684
-81.6371109882087,-83.01092032789046,-50.568463882402874,-91.68315017173286,-100.3595774393133,-388.6137444016422
-409.89210717388335,-477.11790308733356,-378.7487028941653,-424.0101437613588,-475.3227701466334,-100.20058730486748
-125.89020103642721,-57.93123910608557,-103.56189635139528,-329.95155058407977,-48.32770650619426,-249.7056565281722
-129.74005539320393,-78.42596189074817,-94.4094781382428,-79.60485592407399,-139.9969987304887,-300.43166069886536
-243.70436988910836,-237.43674418907318,-191.21781777192382,-299.6758734598631,-114.48611178240068,-161.39587782348468
-118.07944582792115,-430.5024202420551,-307.95095337092584,-54.020615406989705,-144.24361965857466,-103.95036324427357
-65.06961481748044,-87.07176144712787,-363.11087070632794,-175.86067413685478,-357.9363182710441,-259.2758507860586
-341.2401880261573,-244.73896542570245,-369.5891934425868,-344.98291310106254,-150.65137550746275,-228.70998086246416
-307.9775061692341,-185.05014544335847,-185.45613473720636,-212.00416553953454,-352.0903601072821,-293.4648225943404
-152.76632641222534,-83.09644218822562,-141.04286436933546,-48.70089130127681,-336.6558457289925,-344.45834633145705
-83.75253843775927,-204.87945464485082,-125.1860670856413,-81.19434197775172,-92.93720051385333,-487.68447820124726
-70.30399714040001,-212.0601460127127,-195.91774239358753,-233.43782010262152,-143.07362415338196,-306.6475288457778
-63.6723780801208,-311.38309431663436,-42.05320557175122,-335.5687364463828,-329.9418604694923,-325.1461157421933
-224.85624676445764,-438.3557849260974,-65.60811487009659,-58.32513685166621,-284.29482902742654,-76.14168725950587
-115.52804914299921,-26.282341434008416,-141.15419300932706,-87.19748985544544,-276.27133841645133,-228.04227308167196
-233.44382261106634,-326.5325371218335,-66.73923185164557,-343.1130789212411,-62.67474027108508,-39.28540824171597
-234.56159003505013,-89.40486700584432,-342.437789617681,-74.70003717553287,-80.78328711819417,-202.98391083916772
-312.2244569275603,-305.48149513928763,-408.9528543206234,-181.98900293233697,-344.6774144628383,-542.1600494799123
-312.39856160749343,-243.28640044092998,-138.893679712791,-324.8002137177916,-400.7171480174523,-341.2073076886255
-96.07060936383697,-242.69186856238358,-90.39853859967114,-124.24626429168787,-357.7065553186444,-119.9396324155153
-25.754300905203124,-210.78172392503012,-67.87531464292275,-54.06504589118047,-221.3153570034102,-119.27755945256374
-196.20093259485162,-64.23900067730997,-211.32848148492053,-187.3561273779762,-206.63741214386476,-369.99292639344304
-101.63132012738973,-390.00875882845014,-245.495454049915,-305.36557769121345,-112.24730156114154,-402.38880072846746
-373.8838707991401,-346.87122718246076,-358.90755549259853,-105.37905262469248,-333.56005244263724,-48.59298058682749
-107.46211670449337,-113.88712147081398,-17.006334716913315,-104.10074700937052,-308.5013890581814,-380.39635602001954
-36.366930159836386,-154.12706094203605,-318.0905363789203,-36.59654234615765,-88.7606987712843,-313.1708213626317
-146.96955052181255,-184.33006181614792,-359.133284001504,-185.45786833740493,-362.02384026943525,-83.42391880978866
-315.36790444914493,-87.27200031636994,-113.83311779090003,-210.05169978700985,-213.1325701640077,-253.77302813745163
-44.07145423238713,-173.08894431070036,-122.64941873476874,-135.49289437994088,-281.65117131381044,-290.8244732161562
-281.78717569095204,-367.1223006739394,-95.86852078367693,-111.73710393415996,-150.9796466753522,-141.6580775954227
-47.85565200607303,-154.26703766630007,-279.2953559192888,-107.60412736207279,-370.5301380233273,-70.92837320364694
-302.13850738964123,-209.14626394565428,-130.32706098446937,-139.91506422667877,-271.9594502686091,-101.2485285664441
-466.4684163222847,-379.84256767193955,-177.38500431051685,-377.9886109293823,-70.47750284317382,-260.26726461058183
-362.18469337490626,-120.17119656540967,-305.8587341153042,-206.5981707163889,-294.8511847937266,-210.61473903536157
-133.79329202168776,-114.93963909052414,-388.4669820269359,-198.24240128036865,-210.9606433994694,-151.25504008171478
-43.09479276092066,-407.5087146295395,-74.23627971409701,-254.44610839039714,-93.41135925343985,-94.504431200965
-84.8823072011943,-134.91593182659392,-392.69131430765935,-46.650663488100356,-458.8484786646926,-33.007058936758725
-85.08865667063519,-263.5073754104101,-177.9216300694179,-73.96592349858092,-396.8881923043827,-422.96540836735653
-202.4721300962343,-311.37161679586177,-100.86790097233946,-285.96711543258436,-424.1757693503829,-52.06289981436328
-320.9445247876999,-126.68479125357209,-76.61424428582684,-92.2854101614547,-104.84451911223765,-60.24388827484745
-146.97609087986658,-397.3690819419368,-80.81697672150476,-107.48292688894772,-329.2123903763225,-133.10028392541835
-586.7784365416576,-192.07585425789068,-224.25201118023364,-198.66083280091502,-177.3255140412815,-352.56431448039484
-62.962588341624325,-429.0880187073287,-464.88343883982753,-3.6415018739212,-375.9994593112805,-274.37764035141254
-324.97625674405856,-274.17311825057493,-98.18029419770797,-19.73620393517629,-181.0481735175374,-76.39248485832027
-60.891081350141526,-394.6376744053979,-136.92605888821748,-210.20057338157523,-99.59998997881878,-150.22422266930303
-78.19113427748877,-265.1270080742471,-79.97808923380414,-303.87072192909636,-59.15912028220194,-83.99092060165218
-247.2939199391856,-160.79549438841678,-330.8154648049027,-132.47559390685592,-381.98400011489264,-275.1310453652443
-254.29865572772664,-306.091623077229,-96.77230900106068,-70.35255480729441,-302.7666018756439,-407.0790849040929
-187.42876924600253,-95.56182364363796,-252.39694965908697,-195.755688650042,-339.28796540042833,-406.9016298719808
-141.8530861976846,-347.39883631948,-62.977639465442216,-77.90996855129299,-133.3270279061967,-26.660796342203085
-167.7454063512484,-108.46859838163749,-121.42105854413413,15.674463893554247,-46.78741085129215,-192.5248592340089
-195.31272441469702,-42.589302373156755,-213.6046460418386,-153.85342105614538,-425.5488826773124,-289.66146775643796
-45.127232873149524,-198.22324090443374,-37.97315856137908,-522.7378586791301,-208.72574307566896,-141.51269530329995
-305.4350549707859,-79.20729228377358,-379.103799890385,-81.90459156574126,-226.2319919289781,-356.5725547474245
-315.2529524825695,-316.7589030920169,-430.4914511851451,-36.71277901952502,-182.9694010128286,-100.1650222573578
-304.2086113967297,-109.09105243171695,-168.79394229393202,-79.0353090367712,-62.19797634896047,-38.48933719883958
-18.277085225771444,-81.08851322898363,-184.38998647400047,-14.356615981237525,-142.76107935944097,-174.3629801341236
